date,temp_mean,temp_max,temp_min,pressure_mean,pressure_min,pressure_max,humidity_mean,humidity_min,humidity_max,wind_speed_mean,wind_speed_min,wind_speed_max,wind_deg_mean,wind_deg_min,wind_deg_max,clouds_all_mean,clouds_all_min,clouds_all_max,weather_id_mode,total_solar,Day
2019-11-15,6.946666666666668,10.0,2.78,1005.6666666666666,1005,1007,88.375,74,100,4.837500000000001,1.5,8.7,120.83333333333333,10,360,60.833333333333336,40,90,802,2.2,318
2019-11-16,7.101249999999999,9.5,3.0,1005.6666666666666,1005,1007,92.45833333333333,83,99,2.1291666666666673,0.5,3.6,222.08333333333334,10,360,75.0,75,75,803,2.4,319
2019-11-17,7.39,9.5,4.0,1011.125,1007,1015,94.5,84,100,2.7125000000000004,0.5,6.2,188.75,20,360,68.75,20,100,701,2.2,320
2019-11-18,4.6312500000000005,11.11,-1.0,1015.875,1015,1017,87.625,71,95,4.320833333333332,3.1,6.7,322.5,300,340,21.541666666666668,0,75,800,9.100000000000001,321
2019-11-19,1.5091666666666665,7.78,-4.4,1016.125,1015,1017,90.95833333333333,80,96,1.8100000000000005,0.5,3.6,201.25,100,330,56.333333333333336,1,78,802,9.100000000000001,322
2019-11-20,3.8516666666666666,9.44,0.0,1012.75,1010,1015,89.41666666666667,79,98,3.283333333333333,1.5,5.1,118.33333333333333,90,150,61.958333333333336,20,90,803,5.300000000000001,323
2019-11-21,4.6312500000000005,7.22,0.0,1005.375,1000,1010,85.875,78,93,4.616666666666665,3.1,6.2,106.66666666666667,90,120,68.70833333333333,20,96,803,2.1,324
2019-11-22,7.294583333333333,10.0,5.0,996.8333333333334,996,999,92.83333333333333,87,97,4.562499999999999,3.6,5.7,115.0,80,160,69.58333333333333,20,90,802,2.4,325
2019-11-23,8.585833333333333,10.14,6.67,996.4583333333334,994,1000,95.625,92,100,5.383333333333332,3.1,7.7,85.0,60,100,73.33333333333333,40,90,803,1.2,326
2019-11-24,8.16375,10.0,5.06,1002.2916666666666,1000,1004,95.375,87,98,2.0041666666666673,0.5,3.6,139.58333333333334,70,200,79.16666666666667,40,90,701,1.2,327
2019-11-25,9.138333333333335,11.11,6.67,1001.625,999,1004,95.625,90,99,3.8541666666666656,2.6,5.7,142.08333333333334,110,170,77.5,40,90,803,1.2,328
2019-11-26,10.113750000000001,12.78,7.22,992.9166666666666,989,999,96.79166666666667,93,100,3.920833333333332,2.1,6.2,170.41666666666666,140,190,66.33333333333333,40,90,803,1.2,329
2019-11-27,8.6875,10.1,6.2,982.7916666666666,980,988,95.625,90,100,4.508333333333335,2.1,7.7,200.83333333333334,30,350,71.04166666666667,40,90,500,1.6,330
2019-11-28,7.740833333333334,11.67,2.0,993.7083333333334,983,1005,90.79166666666667,80,97,5.245833333333331,3.1,7.2,283.3333333333333,10,360,63.125,40,90,802,1.6,331
2019-11-29,3.2383333333333337,8.33,-1.0,1015.0,1006,1021,90.25,78,97,3.3249999999999993,1.5,4.6,320.8333333333333,300,340,24.583333333333332,1,64,801,7.6,332
2019-11-30,0.98375,7.5,-4.0,1022.1666666666666,1021,1023,94.58333333333333,81,100,1.5333333333333334,0.5,3.1,205.41666666666666,10,360,36.708333333333336,1,100,701,7.4,333
2019-12-01,2.7243749999999998,7.0,-2.0,1025.75,1022,1028,90.375,82,95,3.568750000000001,2.6,4.6,313.75,30,350,22.125,1,75,800,7.4,334
2019-12-02,2.37375,8.33,-2.22,1028.875,1028,1030,88.04166666666667,75,97,2.808333333333334,1.0,4.6,280.4166666666667,220,320,29.583333333333332,1,75,800,8.1,335
2019-12-03,4.297272727272728,9.0,1.11,1024.4545454545455,1021,1028,92.4090909090909,78,98,2.781818181818183,1.5,5.7,227.27272727272728,190,270,36.77272727272727,0,75,701,5.7,336
2019-12-04,3.5104166666666674,9.44,-0.4,1018.5,1017,1020,94.0,82,100,2.6041666666666674,0.5,4.1,199.16666666666666,180,210,13.083333333333334,0,75,701,7.6,337
